client_ip,operation_type,file_path,uid,gid,access_pattern,frequency,threat_type
192.168.1.100,READ,/etc/passwd,1000,1000,sequential,low,RECONNAISSANCE
192.168.1.101,READ,/etc/shadow,0,0,random,high,PRIVILEGE_ESCALATION
192.168.1.102,WRITE,/tmp/backdoor.sh,1000,1000,burst,medium,MALWARE_DEPLOYMENT
192.168.1.103,READ,/home/user/sensitive.doc,1000,1000,sequential,low,DATA_EXFILTRATION
192.168.1.104,SETATTR,/bin/su,0,0,single,low,PRIVILEGE_ESCALATION
192.168.1.105,WRITE,/var/log/auth.log,0,0,continuous,high,LOG_TAMPERING
192.168.1.106,READ,/proc/net/tcp,1000,1000,periodic,medium,RECONNAISSANCE
192.168.1.107,WRITE,/etc/crontab,0,0,single,low,PERSISTENCE
192.168.1.108,READ,/var/lib/mysql/users.db,1001,1001,burst,high,DATA_EXFILTRATION
192.168.1.109,SETATTR,/etc/sudoers,0,0,single,low,PRIVILEGE_ESCALATION
192.168.1.110,WRITE,/tmp/keylogger.so,1000,1000,single,low,MALWARE_DEPLOYMENT
192.168.1.111,READ,/home/admin/.ssh/id_rsa,1000,1000,sequential,medium,CREDENTIAL_THEFT
192.168.1.112,WRITE,/etc/passwd,0,0,single,low,ACCOUNT_MANIPULATION
192.168.1.113,READ,/var/log/secure,1000,1000,continuous,high,LOG_ANALYSIS
192.168.1.114,SETATTR,/usr/bin/sudo,0,0,single,low,PRIVILEGE_ESCALATION
192.168.1.115,WRITE,/home/user/.bashrc,1000,1000,single,low,PERSISTENCE
192.168.1.116,READ,/etc/hosts,1000,1000,sequential,low,RECONNAISSANCE
192.168.1.117,WRITE,/tmp/reverse_shell.py,1000,1000,single,medium,MALWARE_DEPLOYMENT
192.168.1.118,READ,/proc/meminfo,1000,1000,periodic,low,RECONNAISSANCE
192.168.1.119,SETATTR,/var/log/messages,0,0,single,low,LOG_TAMPERING
